Rank	Taxonpath	Taxon	ERR1906857	ERR1906860	ERR1906867
kingdom	Main genome;Archaea;Asgardaeota;Lokiarchaeia	Lokiarchaeia	1.0	None	None
kingdom	Chloroplast;Bacteria (Chloroplast);Cyanobacteria (Chloroplast);Oxyphotobacteria (Chloroplast)	Oxyphotobacteria (Chloroplast)	None	None	None
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	Pseudomonadales	None	None	1.0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales	Betaproteobacteriales	None	None	2.0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales	Oceanospirillales	None	None	1.0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales	Cellvibrionales	4.0	None	2.0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales	Xanthomonadales	None	None	4.0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales	Thiotrichales	None	None	None
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales	Chromatiales	None	1.0	None
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales	Ectothiorhodospirales	1.0	None	None
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;KI89A clade	KI89A clade	1.0	None	None
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales	Nitrosococcales	None	2.0	None
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group	UBA10353 marine group	1.0	None	None
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales	Steroidobacterales	None	None	None
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;B2M28	B2M28	None	None	None
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Tenderiales	Tenderiales	None	None	1.0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Thiohalorhabdales	Thiohalorhabdales	None	1.0	None
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36	HOC36	1.0	None	None
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;PLTA13	PLTA13	1.0	None	2.0
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;CCM19a	CCM19a	None	None	None
phylum	Main genome;Bacteria;Proteobacteria;Gammaproteobacteria;Run-SP154	Run-SP154	1.0	None	None
phylum	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales	Rhizobiales	3.5	5.5	8.0
phylum	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales	Caulobacterales	None	None	5.0
phylum	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales	Sphingomonadales	None	None	None
phylum	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales	Rhodobacterales	5.0	1.0	9.0
phylum	Main genome;Bacteria;Proteobacteria;Alphaproteobacteria;Azospirillales	Azospirillales	None	None	1.0
